"","measures","mean_2cat","mean_3cat","signif_2cat","signif_3cat"
"wavehedges","wavehedges",0.355395213241252,0.308042441065113,"***","***"
"canberra","canberra",0.339612367592796,0.377024258600479,"***","***"
"clark","clark",0.295151488127743,0.449084665373983,"***","***"
"kumar.johnson","kumar.johnson",0.207019694943866,0.171903982044573,"**","**"
"additive_symm","additive_symm",0.191112859663327,0.117684838243512,"**","*"
"taneja","taneja",0.175841813802064,0.0887272276094764,"**","*"
"hellinger","hellinger",0.159477283370262,0.0326403717551623,"**",""
"kullback.leibler","kullback.leibler",0.157316569155573,0.0735506193295592,"**","*"
"jensen.shannon","jensen.shannon",0.152749871451534,0.0250337429979916,"**",""
"pearson","pearson",0.14739651555868,0.329266015732177,"**","***"
"harmonic_mean","harmonic_mean",0.140978053861765,0.0156865316248858,"*",""
"neyman","neyman",0.114092175687478,0.0162125456939081,"*",""
"manhattan","manhattan",0.109349598903474,0.00198938978726831,"*",""
"ruzicka","ruzicka",0.109349598903474,0.00198938978726831,"*",""
"euclidean","euclidean",0.100322730442311,0.00666292854069288,"*",""
"chebyshev","chebyshev",0.0990760134737481,0.00994685188330546,"*",""
"cosine","cosine",0.0803284887893881,0.0400648319635781,"*",""
"hassebrook","hassebrook",0.0790050852077602,0.0173820013123177,"*",""
"jaccard","jaccard",0.0790050852077602,0.0173820013123177,"*",""
"inner_product","inner_product",0.0380068415435834,0.175133060381821,"","**"
